Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Search
ENDP,endo international plc,8.44,1893971845,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/endp,ENDP endo international plc
PLXS,plexus ,61.22,1892556855,,,Technology,Electrical Products,https://www.nasdaq.com/symbol/plxs,PLXS plexus 
SEDG,solaredge technologies ,39.93,1886901174,,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/sedg,SEDG solaredge technologies 
LTXB,legacytexas financial group ,38.8,1884309584,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ltxb,LTXB legacytexas financial group 
UFPI,universal forest products ,30.67,1880994198,,1993,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/ufpi,UFPI universal forest products 
NEO,neogenomics ,19.89,1880914637,,,Health Care,Precision Instruments,https://www.nasdaq.com/symbol/neo,NEO neogenomics 
BLMN,bloomin&#39; brands ,20.47,1870946782,,2012,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/blmn,BLMN bloomin&#39; brands 
PLAY,dave & buster&#39;s entertainment ,48,1854903648,,2014,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/play,PLAY dave & buster&#39;s entertainment 
AEIS,advanced energy industries ,48.55,1854802064,,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis,AEIS advanced energy industries 
HRTX,heron therapeutics   ,23.7,1852905129,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/hrtx,HRTX heron therapeutics   
CLBK,columbia financial ,15.98,1851909017,,2018,Finance,Savings Institutions,https://www.nasdaq.com/symbol/clbk,CLBK columbia financial 
MIK,the michaels companies ,11.68,1841872554,,2014,Consumer Services,Recreational Products/Toys,https://www.nasdaq.com/symbol/mik,MIK the michaels companies 
SFBS,servisfirst bancshares ,34.44,1841686164,,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/sfbs,SFBS servisfirst bancshares 
NWBI,northwest bancshares ,17.3,1836423735,,2009,Finance,Major Banks,https://www.nasdaq.com/symbol/nwbi,NWBI northwest bancshares 
CROX,crocs ,24.92,1827541393,,2006,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/crox,CROX crocs 
LPSN,liveperson ,28.51,1822833179,,2000,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/lpsn,LPSN liveperson 
GDS,gds holdings limited,35.88,1821942016,50778763,2016,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/gds,GDS gds holdings limited
MDRX,allscripts healthcare solutions ,10.63,1821256991,,,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx,MDRX allscripts healthcare solutions 
ODP,office depot ,3.36,1817683926,,,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/odp,ODP office depot 
CFFN,capitol federal financial ,12.86,1816851014,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cffn,CFFN capitol federal financial 
CRTO,criteo sa,27.51,1815611830,65998249,2013,Technology,Advertising,https://www.nasdaq.com/symbol/crto,CRTO criteo sa
HOPE,hope ban ,13.99,1771723651,,,Finance,Major Banks,https://www.nasdaq.com/symbol/hope,HOPE hope ban 
ATRA,atara biotherapeutics ,38.34,1769837929,,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/atra,ATRA atara biotherapeutics 
VRNS,varonis systems ,59.45,1758566967,,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/vrns,VRNS varonis systems 
ARWR,arrowhead pharmaceuticals ,18.62,1754141658,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arwr,ARWR arrowhead pharmaceuticals 
GIII,g-iii apparel group ltd,35.37,1745707112,,1989,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/giii,GIII g-iii apparel group ltd
TSEM,tower semiconductor ltd,16.38,1734354908,,1994,Technology,Semiconductors,https://www.nasdaq.com/symbol/tsem,TSEM tower semiconductor ltd
NFE,new fortress energy llc,10.28,1717364711,,2019,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/nfe,NFE new fortress energy llc
NMIH,nmi holdings ,25.73,1709184078,,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nmih,NMIH nmi holdings 
AVAV,aerovironment ,71.04,1700156346,,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav,AVAV aerovironment 
UNIT,uniti group ,9.47,1694951822,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/unit,UNIT uniti group 
CENT,central garden & pet company,29.25,1693913218,,1993,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/cent,CENT central garden & pet company
XNCR,xencor ,29.98,1687639227,,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/xncr,XNCR xencor 
RUN,sunrun ,14.77,1682300504,,2015,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/run,RUN sunrun 
BOLD,audentes therapeutics ,38.19,1664844014,,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/bold,BOLD audentes therapeutics 
ALLK,allakos ,39.37,1657991133,,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk,ALLK allakos 
SMPL,the simply good foods company,20.24,1657422714,,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/smpl,SMPL the simply good foods company
CORE,core-mark holding company ,36.09,1655455554,,,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/core,CORE core-mark holding company 
HTLD,heartland express ,20.04,1641964374,,1986,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/htld,HTLD heartland express 
KTOS,kratos defense & security solutions ,15.46,1632234643,,,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ktos,KTOS kratos defense & security solutions 
TTEC,ttec holdings ,35.11,1622402273,,1996,Technology,Professional Services,https://www.nasdaq.com/symbol/ttec,TTEC ttec holdings 
SAIA,saia ,62.7,1620487895,,,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/saia,SAIA saia 
HTLF,heartland financial usa ,46.87,1620213034,,,Finance,Major Banks,https://www.nasdaq.com/symbol/htlf,HTLF heartland financial usa 
STAA,staar surgical company,36.58,1617134383,,,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/staa,STAA staar surgical company
MINI,mobile mini ,36.01,1615713605,,1994,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/mini,MINI mobile mini 
BZUN,baozun ,37.27,1614729347,43325177,2015,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/bzun,BZUN baozun 
ONEQ,fidelity nasdaq composite index tracking stock,301,1598279900,,,,,https://www.nasdaq.com/symbol/oneq,ONEQ fidelity nasdaq composite index tracking stock
PCRX,pacira pharmaceuticals ,38.62,1592293563,,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pcrx,PCRX pacira pharmaceuticals 
CWST,casella waste systems ,34.1,1585608125,,1997,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/cwst,CWST casella waste systems 
EBIX,ebix ,51.78,1581682857,,,Technology,EDP Services,https://www.nasdaq.com/symbol/ebix,EBIX ebix 
SSRM,ssr mining ,13.05,1580679345,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ssrm,SSRM ssr mining 
SCWX,secureworks ,19.25,1572769160,,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/scwx,SCWX secureworks 
NMRK,newmark group ,8.9,1571040914,,2017,,,https://www.nasdaq.com/symbol/nmrk,NMRK newmark group 
WVE,wave life sciences ltd,45.73,1563605007,,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/wve,WVE wave life sciences ltd
BLDR,builders firstsource ,13.51,1558508412,,2005,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/bldr,BLDR builders firstsource 
OSIS,osi systems ,86.01,1554321802,,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/osis,OSIS osi systems 
OPK,opko health ,2.51,1545157945,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/opk,OPK opko health 
MGLN,magellan health ,64.47,1542466799,,,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/mgln,MGLN magellan health 
TWNK,hostess brands ,11.8,1537558597,,2015,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/twnk,TWNK hostess brands 
KLIC,kulicke and soffa industries ,22.99,1520573888,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/klic,KLIC kulicke and soffa industries 
CVGW,calavo growers ,85.96,1512896000,,,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/cvgw,CVGW calavo growers 
PBYI,puma biotechnology ,39.17,1507965916,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pbyi,PBYI puma biotechnology 
RUSHA,rush enterprises ,41.15,1502154867,,,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/rusha,RUSHA rush enterprises 
STMP,stampscom ,85.49,1498416315,,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/stmp,STMP stampscom 
FRPT,freshpet ,42,1497046488,,2014,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/frpt,FRPT freshpet 
PZZA,papa john&#39;s international ,47.2,1493515097,,1993,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/pzza,PZZA papa john&#39;s international 
HUBG,hub group ,42.8,1488332122,,1996,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/hubg,HUBG hub group 
CDNA,caredx ,35.59,1485115251,,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cdna,CDNA caredx 
BNFT,benefitfocus ,46.24,1481570939,,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bnft,BNFT benefitfocus 
TLND,talend sa,49.24,1474871490,29952711,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/tlnd,TLND talend sa
KNSL,kinsale capital group ,69.3,1472641840,,2016,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/knsl,KNSL kinsale capital group 
SG,sirius international insurance group ltd,12.75,1468178450,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/sg,SG sirius international insurance group ltd
CATM,cardtronics plc,31.57,1460462075,,2007,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/catm,CATM cardtronics plc
AIMT,aimmune therapeutics ,23.46,1458888111,,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt,AIMT aimmune therapeutics 
CLVS,clovis oncology ,27.44,1450713725,,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clvs,CLVS clovis oncology 
PDP,invesco dwa momentum etf,55.64,1438294000,,,,,https://www.nasdaq.com/symbol/pdp,PDP invesco dwa momentum etf
PKW,invesco buyback achievers etf,59.9,1434605000,,,,,https://www.nasdaq.com/symbol/pkw,PKW invesco buyback achievers etf
ICFI,icf international ,76.17,1433078071,,2006,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/icfi,ICFI icf international 
PLCE,children&#39;s place  (the),88.44,1432219647,,1997,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/plce,PLCE children&#39;s place  (the)
INVA,innoviva ,14.16,1431902020,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/inva,INVA innoviva 
GLUU,glu mobile ,9.83,1416703611,,2007,Technology,EDP Services,https://www.nasdaq.com/symbol/gluu,GLUU glu mobile 
VBTX,veritex holdings ,25.89,1412004380,,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/vbtx,VBTX veritex holdings 
